donor_id,age_group,gender,name,email,country,donation_type,donation_amount,donation_date,payment_method,newsletter_opt_in,referral_channel,sector,campaign
1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,50-65,Female,Allison Hill,allison.hill40@yahoo.com,UK,Monthly,115.31,2024-10-24,Paypal,False,Website,Real Estate,Rescue Orphaned Gorillas
3b8faa18-37f8-488b-97fc-695a07a0ca6e,50-65,Female,Angie Henderson,angie.henderson758@gmail.com,USA,One-time,8.6,2024-06-21,Bank Transfer,False,Online advertising,Logistics,Rescue Orphaned Gorillas
72ff5d2a-386e-4be0-ab65-a6a48b8148f6,50-65,Female,Christina Santos,christina.santos275@gmail.com,USA,One-time,40.07,2024-08-21,Bank Transfer,False,Online advertising,Media & Communication,Marine Mammal Defense Mission
47229389-571a-4876-ac30-7511b2b9437a,18-29,Male,Aaron Shaffer,aaron.shaffer1@hotmail.com,USA,One-time,45.17,2023-10-09,Bank Transfer,False,Online advertising,Government,Wildlife Rescue Van Drive
580d7b71-d8f5-4413-9be6-128e18c26797,30-49,Female,Gabrielle Davis,gabrielle.davis890@yahoo.com,UK,One-time,85.84,2024-09-01,Bank Transfer,True,Newsletter,Science & Research,Habitat for Hope
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,50-65,Male,Nicholas Herrera,nicholas.herrera784@outlook.com,Canada,One-time,293.22,2024-07-25,Cheque,True,Online advertising,Pharmaceuticals,Habitat for Hope
11ce5dd2-b45e-41f0-b139-d32c93cd59bf,18-29,Female,Lisa Hensley,lisa.hensley815@gmail.com,Netherlands,One-time,15.0,2023-07-21,Paypal,True,Newsletter,Science & Research,Habitat for Hope
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,50-65,Female,Donna Miller,donna.miller708@charitymail.org,France,One-time,93.42,2024-01-07,Bank Transfer,False,Newsletter,Government,Wildlife Rescue Van Drive
b3aa7efe-4458-4885-ab90-99a435a240ae,50-65,Female,Holly Wood,holly.wood790@gmail.com,Netherlands,Monthly,19.46,2025-05-02,Bank Transfer,True,Word of mouth,Agriculture,Defend the Great Apes
7656af72-29d4-4eef-beab-edcbbaa80dd4,50-65,Female,Lisa Jackson,lisa.jackson495@yahoo.com,USA,Monthly,209.59,2024-03-21,Credit Card,True,Website,Hospitality,Defend the Great Apes
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,18-29,Other,Margaret Hawkins DDS,margaret.dds84@outlook.com,Netherlands,Monthly,75.29,2023-12-02,Cheque,False,Newsletter,Consulting,Jungle Education Project
